Year, Month, Day, Hour, Hs [m], Tp [s], Tz [s], Dm [deg]
350,7,1,0,1.58,6.03,4.57,216.41
350,7,1,3,1.81,6.05,4.74,222.03
350,7,1,6,2.01,6.26,4.96,226.02
350,7,1,9,2.08,6.59,5.15,227.87
350,7,1,12,2.01,6.91,5.26,227.85
350,7,1,15,1.88,7.18,5.36,227.45
350,7,1,18,1.76,7.33,5.46,226.26
350,7,1,21,1.68,7.42,5.53,224.8
350,7,2,0,1.61,7.47,5.54,223.42
350,7,2,3,1.55,7.49,5.54,221.76
350,7,2,6,1.49,7.5,5.57,219.82
350,7,2,9,1.43,7.5,5.57,218.05
350,7,2,12,1.37,7.49,5.52,216.47
350,7,2,15,1.32,7.48,5.38,214.78
350,7,2,18,1.28,7.41,5.25,212.5
350,7,2,21,1.23,7.36,5.23,209.91
350,7,3,0,1.17,7.31,5.24,206.88
350,7,3,3,1.13,7.28,5.24,202.99
350,7,3,6,1.09,7.27,5.17,197.86
350,7,3,9,1.07,7.11,5.04,190.98
350,7,3,12,1.06,6.94,4.92,181.58
350,7,3,15,1.04,6.85,4.86,170.33
350,7,3,18,1.02,6.84,4.85,159.12
350,7,3,21,0.99,6.86,4.86,149.32
350,7,4,0,0.97,6.91,4.9,142.01
350,7,4,3,0.94,6.95,4.93,136.65
350,7,4,6,0.92,6.97,4.94,132.91
350,7,4,9,0.91,6.94,4.92,130.58
350,7,4,12,0.91,6.78,4.81,129.64
350,7,4,15,0.96,6.48,4.59,130.61
350,7,4,18,1.09,6.28,4.45,134.25
350,7,4,21,1.25,6.14,4.48,140.2
350,7,5,0,1.39,6.07,4.57,146.03
350,7,5,3,1.49,6.06,4.63,152.55
350,7,5,6,1.52,6.08,4.67,164.07
350,7,5,9,1.58,6.11,4.73,181.67
350,7,5,12,1.67,6.2,4.83,196.34
350,7,5,15,1.71,6.36,4.91,203.7
350,7,5,18,1.64,6.54,4.96,206.41
350,7,5,21,1.59,6.67,5.02,207.99
350,7,6,0,1.56,6.75,5.08,209.67
350,7,6,3,1.52,6.8,5.09,211.6
350,7,6,6,1.46,6.82,5.08,213.53
350,7,6,9,1.39,6.84,5.1,214.14
350,7,6,12,1.33,6.84,5.13,214.16
350,7,6,15,1.28,6.84,5.13,214.08
350,7,6,18,1.24,6.83,5.14,213.77
350,7,6,21,1.21,6.81,5.11,214.01
350,7,7,0,1.23,6.71,4.89,216.84
350,7,7,3,1.36,6.33,4.67,221.19
350,7,7,6,1.52,6.15,4.7,225.44
350,7,7,9,1.55,6.19,4.75,229.7
350,7,7,12,1.45,6.29,4.76,230.79
350,7,7,15,1.33,6.4,4.79,230.28
350,7,7,18,1.24,6.5,4.85,228.76
350,7,7,21,1.18,6.57,4.89,225.91
350,7,8,0,1.15,6.6,4.84,223.25
350,7,8,3,1.15,6.54,4.73,221.77
350,7,8,6,1.19,6.39,4.65,222.69
350,7,8,9,1.2,6.36,4.65,223.51
350,7,8,12,1.17,6.42,4.7,222.37
350,7,8,15,1.17,6.41,4.68,221.94
350,7,8,18,1.17,6.44,4.71,221.63
350,7,8,21,1.17,6.49,4.78,220.45
350,7,9,0,1.2,6.49,4.76,220.62
350,7,9,3,1.25,6.47,4.74,222.07
350,7,9,6,1.3,6.45,4.72,224.67
350,7,9,9,1.31,6.48,4.74,225.6
350,7,9,12,1.29,6.56,4.77,224.93
350,7,9,15,1.26,6.66,4.8,223.16
350,7,9,18,1.23,6.75,4.84,220.8
350,7,9,21,1.25,6.76,4.8,218.84
350,7,10,0,1.33,6.65,4.74,217.43
350,7,10,3,1.46,6.53,4.75,216.54
350,7,10,6,1.7,6.48,4.86,217.85
350,7,10,9,2.01,6.63,5.06,218.54
350,7,10,12,2.13,6.89,5.18,217.93
350,7,10,15,1.95,7.22,5.28,216.09
350,7,10,18,1.85,7.5,5.47,213.24
350,7,10,21,1.82,7.76,5.63,210.63
350,7,11,0,1.84,8.02,5.73,207.88
350,7,11,3,1.87,8.28,5.88,204.52
350,7,11,6,1.89,8.5,6.05,201.42
350,7,11,9,1.9,8.65,6.16,199.09
350,7,11,12,1.88,8.73,6.19,197.13
350,7,11,15,1.83,8.68,6.15,195.21
350,7,11,18,1.78,8.63,6.12,193.58
350,7,11,21,1.72,8.58,6.08,192.08
350,7,12,0,1.66,8.47,6.01,190.39
350,7,12,3,1.62,8.36,5.93,188.91
350,7,12,6,1.59,8.4,5.96,188.76
350,7,12,9,1.57,8.32,5.99,188.9
350,7,12,12,1.55,8.26,5.98,189.09
350,7,12,15,1.53,8.2,5.97,189.17
350,7,12,18,1.51,8.15,5.96,189.07
350,7,12,21,1.48,8.12,5.95,188.83
350,7,13,0,1.46,8.09,5.92,188.57
350,7,13,3,1.44,8.09,5.82,188.77
350,7,13,6,1.44,8.05,5.71,189.53
350,7,13,9,1.44,8,5.67,190.19
350,7,13,12,1.43,7.99,5.69,190.31
350,7,13,15,1.41,7.95,5.72,189.98
350,7,13,18,1.38,7.91,5.77,189.23
350,7,13,21,1.36,7.88,5.79,188.42
350,7,14,0,1.34,7.85,5.8,187.6
350,7,14,3,1.32,7.82,5.79,186.77
350,7,14,6,1.3,7.79,5.77,185.91
350,7,14,9,1.28,7.75,5.75,185.04
350,7,14,12,1.26,7.7,5.72,184.1
350,7,14,15,1.24,7.65,5.7,183.02
350,7,14,18,1.22,7.61,5.69,181.83
350,7,14,21,1.2,7.58,5.68,180.57
350,7,15,0,1.18,7.55,5.67,179.29
350,7,15,3,1.16,7.54,5.62,178.17
350,7,15,6,1.15,7.53,5.5,177.59
350,7,15,9,1.14,7.49,5.46,176.94
350,7,15,12,1.13,7.45,5.48,175.99
350,7,15,15,1.11,7.42,5.5,175.1
350,7,15,18,1.11,7.4,5.45,174.5
350,7,15,21,1.11,7.37,5.35,174.27
350,7,16,0,1.11,7.32,5.3,174.77
350,7,16,3,1.15,7.22,5.17,177.36
350,7,16,6,1.23,7.05,5.05,183.71
350,7,16,9,1.35,6.93,5.02,191.44
350,7,16,12,1.43,6.99,5.11,196.48
350,7,16,15,1.49,7.15,5.3,198.65
350,7,16,18,1.57,7.38,5.49,199.66
350,7,16,21,1.66,7.64,5.64,200.34
350,7,17,0,1.75,7.85,5.65,201.96
350,7,17,3,1.82,7.92,5.62,204.07
350,7,17,6,1.84,7.89,5.59,205.82
350,7,17,9,1.8,7.91,5.61,206.35
350,7,17,12,1.74,7.94,5.63,205.94
350,7,17,15,1.69,7.92,5.62,205.57
350,7,17,18,1.65,7.86,5.63,204.94
350,7,17,21,1.63,7.81,5.66,204.25
350,7,18,0,1.64,7.8,5.71,203.5
350,7,18,3,1.67,7.85,5.78,202.75
350,7,18,6,1.7,7.96,5.87,201.92
350,7,18,9,1.74,8.09,5.96,201.25
350,7,18,12,1.75,8.18,6.04,200.73
350,7,18,15,1.74,8.23,6.08,200.31
350,7,18,18,1.72,8.24,6.09,199.9
350,7,18,21,1.7,8.25,6.09,199.41
350,7,19,0,1.68,8.25,6.1,198.85
350,7,19,3,1.66,8.26,6.11,198.23
350,7,19,6,1.64,8.26,6.11,197.57
350,7,19,9,1.6,8.23,6.08,196.9
350,7,19,12,1.55,8.18,6.04,196.24
350,7,19,15,1.5,8.11,5.99,195.59
350,7,19,18,1.44,8.04,5.93,194.89
350,7,19,21,1.39,7.96,5.87,194.06
350,7,20,0,1.35,7.88,5.8,193.14
350,7,20,3,1.32,7.8,5.74,192.32
350,7,20,6,1.29,7.73,5.7,191.72
350,7,20,9,1.28,7.66,5.66,191.42
350,7,20,12,1.29,7.59,5.61,191.69
350,7,20,15,1.32,7.54,5.6,193.05
350,7,20,18,1.39,7.55,5.65,195.81
350,7,20,21,1.52,7.66,5.67,199.56
350,7,21,0,1.76,7.76,5.54,204.64
350,7,21,3,2.16,7.78,5.54,212.04
350,7,21,6,2.7,7.92,5.76,217.62
350,7,21,9,3.22,8.23,6.03,220.05
350,7,21,12,3.54,8.56,6.23,221.58
350,7,21,15,3.39,8.72,6.22,223.06
350,7,21,18,3.09,8.66,6.14,223.57
350,7,21,21,2.81,8.64,6.13,223.28
350,7,22,0,2.57,8.54,6.05,222.89
350,7,22,3,2.37,8.4,5.95,222.41
350,7,22,6,2.21,8.17,5.79,222.03
350,7,22,9,2.18,7.83,5.55,221.41
350,7,22,12,2.26,7.65,5.47,220.06
350,7,22,15,2.36,7.55,5.5,218.52
350,7,22,18,2.38,7.57,5.52,216.07
350,7,22,21,2.46,7.59,5.54,214.14
350,7,23,0,2.52,7.66,5.59,213.17
350,7,23,3,2.55,7.7,5.64,212.39
350,7,23,6,2.52,7.73,5.65,211.75
350,7,23,9,2.48,7.72,5.59,211.27
350,7,23,12,2.42,7.68,5.54,210.7
350,7,23,15,2.37,7.63,5.54,210.11
350,7,23,18,2.31,7.62,5.53,209.08
350,7,23,21,2.26,7.63,5.52,207.74
350,7,24,0,2.22,7.63,5.5,206.65
350,7,24,3,2.15,7.63,5.48,205.5
350,7,24,6,2.07,7.6,5.46,204.29
350,7,24,9,2.02,7.56,5.43,203.03
350,7,24,12,1.97,7.58,5.45,201.47
350,7,24,15,1.94,7.64,5.48,199.52
350,7,24,18,1.97,7.69,5.48,197.64
350,7,24,21,2.05,7.76,5.5,196.45
350,7,25,0,2.13,7.79,5.53,195.8
350,7,25,3,2.13,7.84,5.56,195.54
350,7,25,6,2.07,7.86,5.58,195.85
350,7,25,9,1.99,7.87,5.58,196.61
350,7,25,12,1.89,7.9,5.6,196.53
350,7,25,15,1.8,7.93,5.62,195.31
350,7,25,18,1.71,8.02,5.69,192.3
350,7,25,21,1.64,8.09,5.74,188.8
350,7,26,0,1.59,8.13,5.76,185.31
350,7,26,3,1.55,8.12,5.75,182.01
350,7,26,6,1.53,7.96,5.64,179.9
350,7,26,9,1.55,7.74,5.49,179.7
