Year, Month, Day, Hour, Hs [m], Tp [s], Tz [s], Dm [deg]
350,7,1,0,1.56,8.61,6.11,261.32
350,7,1,3,1.6,8.3,5.89,268.64
350,7,1,6,1.67,8.01,5.68,279.3
350,7,1,9,1.73,7.9,5.6,288.22
350,7,1,12,1.77,7.86,5.57,295.28
350,7,1,15,1.79,7.83,5.55,300.29
350,7,1,18,1.82,7.76,5.5,305.5
350,7,1,21,1.86,7.74,5.49,309.97
350,7,2,0,1.9,7.75,5.49,312.96
350,7,2,3,1.97,7.72,5.47,315.07
350,7,2,6,2.05,7.7,5.46,315.99
350,7,2,9,2.05,7.79,5.52,314.73
350,7,2,12,1.99,7.87,5.58,312.26
350,7,2,15,1.94,7.92,5.61,309.8
350,7,2,18,1.89,7.95,5.63,307.79
350,7,2,21,1.82,8.02,5.69,305.44
350,7,3,0,1.75,8.11,5.75,302.34
350,7,3,3,1.7,8.08,5.73,299.3
350,7,3,6,1.67,7.97,5.65,297.12
350,7,3,9,1.64,7.98,5.66,294.5
350,7,3,12,1.61,8.02,5.69,291.22
350,7,3,15,1.58,8.1,5.74,286.99
350,7,3,18,1.55,8.18,5.8,282.31
350,7,3,21,1.51,8.29,5.88,277.39
350,7,4,0,1.5,8.25,5.85,274.12
350,7,4,3,1.5,8.11,5.75,273.1
350,7,4,6,1.51,8.01,5.68,273.2
350,7,4,9,1.49,8.12,5.76,270.88
350,7,4,12,1.45,8.33,5.91,267.07
350,7,4,15,1.42,8.54,6.05,263.53
350,7,4,18,1.39,8.7,6.17,260.83
350,7,4,21,1.36,8.87,6.29,258.65
350,7,5,0,1.34,8.99,6.37,257.04
350,7,5,3,1.32,9.08,6.44,255.89
350,7,5,6,1.31,8.98,6.37,255.76
350,7,5,9,1.3,9.01,6.39,255.4
350,7,5,12,1.28,9.12,6.47,254.83
350,7,5,15,1.27,9.2,6.52,254.46
350,7,5,18,1.26,9.24,6.55,254.31
350,7,5,21,1.24,9.25,6.56,254.35
350,7,6,0,1.23,9.2,6.52,254.74
350,7,6,3,1.23,8.86,6.28,256.75
350,7,6,6,1.27,8.21,5.82,262.74
350,7,6,9,1.31,7.92,5.61,268.58
350,7,6,12,1.35,7.72,5.47,274.3
350,7,6,15,1.38,7.68,5.44,278.3
350,7,6,18,1.39,7.75,5.5,279.82
350,7,6,21,1.4,7.87,5.58,280.74
350,7,7,0,1.42,7.88,5.59,282.96
350,7,7,3,1.46,7.74,5.49,287.64
350,7,7,6,1.53,7.67,5.43,292.95
350,7,7,9,1.58,7.71,5.46,296.5
350,7,7,12,1.6,7.78,5.52,297.64
350,7,7,15,1.6,7.86,5.57,297.04
350,7,7,18,1.59,7.95,5.64,295.01
350,7,7,21,1.57,8.05,5.71,291.57
350,7,8,0,1.56,8.13,5.76,287.53
350,7,8,3,1.57,8.14,5.77,284.04
350,7,8,6,1.59,8.21,5.82,280.33
350,7,8,9,1.6,8.4,5.96,275.41
350,7,8,12,1.6,8.68,6.15,269.76
350,7,8,15,1.61,8.97,6.36,264.84
350,7,8,18,1.62,9.23,6.54,261.04
350,7,8,21,1.63,9.45,6.7,258.2
350,7,9,0,1.65,9.64,6.83,256.06
350,7,9,3,1.66,9.8,6.95,254.43
350,7,9,6,1.68,9.95,7.05,253.19
350,7,9,9,1.69,10.07,7.14,252.23
350,7,9,12,1.71,10.19,7.22,251.46
350,7,9,15,1.72,10.3,7.3,250.83
350,7,9,18,1.74,10.4,7.37,250.28
350,7,9,21,1.75,10.5,7.44,249.76
350,7,10,0,1.76,10.59,7.51,249.26
350,7,10,3,1.77,10.69,7.58,248.73
350,7,10,6,1.78,10.78,7.64,248.16
350,7,10,9,1.79,10.87,7.71,247.53
350,7,10,12,1.8,10.97,7.78,246.84
350,7,10,15,1.81,11.06,7.84,246.07
350,7,10,18,1.82,11.16,7.91,245.22
350,7,10,21,1.83,11.26,7.98,244.31
350,7,11,0,1.84,11.35,8.05,243.33
350,7,11,3,1.85,11.43,8.11,242.33
350,7,11,6,1.87,11.27,7.99,241.78
350,7,11,9,1.88,11.21,7.95,241.1
350,7,11,12,1.89,11.35,8.05,240
350,7,11,15,1.9,11.49,8.15,238.86
350,7,11,18,1.91,11.6,8.22,237.83
350,7,11,21,1.92,11.66,8.27,236.91
350,7,12,0,1.93,11.7,8.3,236.11
350,7,12,3,1.93,11.68,8.29,235.47
350,7,12,6,1.95,11.34,8.04,235.61
350,7,12,9,1.97,11.19,7.94,235.59
350,7,12,12,1.97,11.23,7.97,235.19
350,7,12,15,1.97,11.31,8.02,234.75
350,7,12,18,1.97,11.33,8.03,234.57
350,7,12,21,1.96,11.26,7.98,234.86
350,7,13,0,1.97,11.07,7.85,235.86
350,7,13,3,1.98,10.64,7.55,238.23
350,7,13,6,2.05,9.74,6.91,245.25
350,7,13,9,2.18,9.09,6.45,257.47
350,7,13,12,2.3,8.89,6.3,268.72
350,7,13,15,2.35,8.9,6.31,275.85
350,7,13,18,2.34,8.94,6.34,280.29
350,7,13,21,2.32,8.96,6.35,284.5
350,7,14,0,2.3,8.92,6.32,289.65
350,7,14,3,2.31,8.82,6.25,295.97
350,7,14,6,2.35,8.69,6.16,302.85
350,7,14,9,2.39,8.66,6.14,308.26
350,7,14,12,2.42,8.7,6.17,311.43
350,7,14,15,2.42,8.79,6.23,312.94
350,7,14,18,2.41,8.86,6.28,313.51
350,7,14,21,2.39,8.9,6.31,313.59
350,7,15,0,2.38,8.88,6.29,313.53
350,7,15,3,2.37,8.83,6.26,313.44
350,7,15,6,2.37,8.78,6.23,313.31
350,7,15,9,2.36,8.78,6.22,313.01
350,7,15,12,2.35,8.79,6.24,312.5
350,7,15,15,2.33,8.83,6.26,311.91
350,7,15,18,2.31,8.85,6.28,311.42
350,7,15,21,2.29,8.87,6.29,311.16
350,7,16,0,2.27,8.84,6.27,311.25
350,7,16,3,2.24,8.74,6.2,311.52
350,7,16,6,2.22,8.57,6.08,312.03
350,7,16,9,2.2,8.45,5.99,313.05
350,7,16,12,2.16,8.39,5.95,313.86
350,7,16,15,2.09,8.37,5.94,313.95
350,7,16,18,2.02,8.35,5.92,313.34
350,7,16,21,1.94,8.34,5.92,312.29
350,7,17,0,1.86,8.3,5.89,311.04
350,7,17,3,1.82,8.12,5.76,310.79
350,7,17,6,1.83,7.88,5.59,313
350,7,17,9,1.87,7.76,5.5,316.74
350,7,17,12,1.86,7.76,5.5,318.51
350,7,17,15,1.82,7.84,5.56,317.32
350,7,17,18,1.78,7.92,5.62,315.17
350,7,17,21,1.74,8.02,5.69,312.72
350,7,18,0,1.73,8.05,5.71,311.04
350,7,18,3,1.75,8.01,5.68,311
350,7,18,6,1.79,7.98,5.66,311.94
350,7,18,9,1.84,8.01,5.68,312.8
350,7,18,12,1.88,8.09,5.74,312.33
350,7,18,15,1.88,8.21,5.82,310.03
350,7,18,18,1.86,8.35,5.92,306.44
350,7,18,21,1.85,8.45,5.99,302.6
350,7,19,0,1.84,8.51,6.04,299.15
350,7,19,3,1.85,8.51,6.03,296.5
350,7,19,6,1.87,8.46,6,295.09
350,7,19,9,1.89,8.45,5.99,294.03
350,7,19,12,1.89,8.49,6.02,292.25
350,7,19,15,1.89,8.56,6.07,289.56
350,7,19,18,1.88,8.63,6.12,286.7
350,7,19,21,1.87,8.69,6.16,284.2
350,7,20,0,1.87,8.68,6.15,282.87
350,7,20,3,1.89,8.58,6.08,283.92
350,7,20,6,1.92,8.46,6,286.95
350,7,20,9,1.94,8.43,5.98,288.97
350,7,20,12,1.93,8.49,6.02,288.21
350,7,20,15,1.9,8.59,6.09,285.3
350,7,20,18,1.86,8.7,6.17,281.99
350,7,20,21,1.83,8.8,6.24,279.14
350,7,21,0,1.8,8.87,6.29,276.91
350,7,21,3,1.77,8.91,6.32,275.36
350,7,21,6,1.74,8.95,6.34,274.11
350,7,21,9,1.71,9,6.38,272.98
350,7,21,12,1.69,9.04,6.41,272.12
350,7,21,15,1.67,9.05,6.42,271.96
350,7,21,18,1.65,9.04,6.41,272.85
350,7,21,21,1.65,9.03,6.4,274.8
350,7,22,0,1.66,9.02,6.4,277.64
350,7,22,3,1.68,9.01,6.39,281.04
350,7,22,6,1.7,8.99,6.37,284.54
350,7,22,9,1.72,8.96,6.35,287.98
350,7,22,12,1.75,8.92,6.33,291.28
350,7,22,15,1.77,8.89,6.3,294.3
350,7,22,18,1.79,8.84,6.27,296.94
350,7,22,21,1.8,8.81,6.25,299.08
350,7,23,0,1.79,8.8,6.24,300.68
350,7,23,3,1.79,8.73,6.19,302.21
350,7,23,6,1.8,8.57,6.08,304.2
350,7,23,9,1.8,8.49,6.02,306.14
350,7,23,12,1.79,8.47,6.01,307.49
350,7,23,15,1.78,8.48,6.01,308.23
350,7,23,18,1.76,8.5,6.03,308.56
350,7,23,21,1.74,8.52,6.04,308.58
350,7,24,0,1.72,8.51,6.03,308.37
350,7,24,3,1.71,8.41,5.96,308.6
350,7,24,6,1.73,8.22,5.83,310.21
350,7,24,9,1.75,8.12,5.76,311.76
350,7,24,12,1.74,8.14,5.77,311.39
350,7,24,15,1.71,8.22,5.83,309.13
350,7,24,18,1.69,8.28,5.87,306.22
350,7,24,21,1.67,8.34,5.92,303.1
350,7,25,0,1.67,8.38,5.94,300.05
350,7,25,3,1.67,8.37,5.94,297.41
350,7,25,6,1.67,8.38,5.95,294.8
350,7,25,9,1.67,8.44,5.99,291.68
350,7,25,12,1.66,8.54,6.06,287.97
350,7,25,15,1.65,8.67,6.14,284.02
350,7,25,18,1.64,8.78,6.23,280.33
350,7,25,21,1.63,8.9,6.31,276.87
350,7,26,0,1.61,8.99,6.38,273.8
350,7,26,3,1.61,9.02,6.4,271.47
350,7,26,6,1.61,8.97,6.36,269.91
350,7,26,9,1.6,9.07,6.43,268.23
350,7,26,12,1.59,9.18,6.51,266.76
350,7,26,15,1.58,9.28,6.58,265.44
350,7,26,18,1.56,9.37,6.64,264.27
350,7,26,21,1.55,9.44,6.69,263.17
350,7,27,0,1.53,9.51,6.74,262.1
350,7,27,3,1.51,9.57,6.79,261.13
350,7,27,6,1.49,9.6,6.81,260.37
350,7,27,9,1.47,9.61,6.81,259.93
350,7,27,12,1.47,9.59,6.8,259.86
350,7,27,15,1.46,9.56,6.78,260.18
350,7,27,18,1.46,9.5,6.74,260.86
350,7,27,21,1.47,9.45,6.7,261.83
350,7,28,0,1.47,9.4,6.67,263.05
350,7,28,3,1.47,9.35,6.63,264.54
350,7,28,6,1.49,9.04,6.41,267.67
350,7,28,9,1.51,8.67,6.15,272.34
350,7,28,12,1.53,8.56,6.07,276.15
350,7,28,15,1.52,8.62,6.11,278.61
350,7,28,18,1.52,8.6,6.1,281.14
350,7,28,21,1.51,8.58,6.09,283.56
350,7,29,0,1.53,8.36,5.93,287.83
350,7,29,3,1.61,7.9,5.6,296.07
350,7,29,6,1.73,7.63,5.41,305.21
