Exceedance Prob,Quantile [m],CI 2.5% [m],CI 97.5% [m]
1,-Inf,-Inf,-Inf
0.9326,6.1488,5.7618,6.6693
0.86975,6.4418,6.0432,6.9454
0.81113,6.6523,6.2603,7.1526
0.75646,6.8254,6.4301,7.3076
0.70548,6.9766,6.568,7.4503
0.65793,7.1132,6.7011,7.5806
0.61359,7.2393,6.8167,7.7152
0.57224,7.3576,6.9234,7.8473
0.53367,7.4698,7.0142,7.9649
0.4977,7.5769,7.0998,8.0843
0.46416,7.6801,7.1828,8.1855
0.43288,7.7798,7.2655,8.2943
0.4037,7.8767,7.3569,8.4048
0.37649,7.9711,7.4352,8.505
0.35112,8.0633,7.5155,8.6017
0.32745,8.1538,7.5902,8.6977
0.30539,8.2426,7.6574,8.7905
0.2848,8.3299,7.7244,8.879
0.26561,8.416,7.7859,8.976
0.24771,8.501,7.8459,9.0801
0.23101,8.5849,7.9089,9.1829
0.21544,8.668,7.9781,9.2705
0.20092,8.7502,8.0443,9.3529
0.18738,8.8316,8.1099,9.4375
0.17475,8.9124,8.1716,9.5338
0.16298,8.9926,8.2296,9.6294
0.15199,9.0722,8.2949,9.7076
0.14175,9.1513,8.3479,9.7835
0.13219,9.2299,8.3999,9.8651
0.12328,9.3081,8.4565,9.9579
0.11498,9.3859,8.5129,10.043
0.10723,9.4634,8.569,10.125
0.1,9.5405,8.6248,10.213
0.09326,9.6173,8.6817,10.301
0.086975,9.6939,8.7451,10.39
0.081113,9.7701,8.8066,10.479
0.075646,9.8462,8.8559,10.567
0.070548,9.922,8.9109,10.658
0.065793,9.9976,8.963,10.744
0.061359,10.073,9.0212,10.827
0.057224,10.148,9.0793,10.908
0.053367,10.223,9.1373,10.998
0.04977,10.298,9.1951,11.087
0.046416,10.373,9.2529,11.177
0.043288,10.448,9.3105,11.267
0.04037,10.522,9.368,11.356
0.037649,10.597,9.4255,11.445
0.035112,10.671,9.4829,11.534
0.032745,10.746,9.5402,11.623
0.030539,10.82,9.5974,11.708
0.02848,10.894,9.6546,11.797
0.026561,10.968,9.7061,11.886
0.024771,11.042,9.7549,11.974
0.023101,11.116,9.8036,12.063
0.021544,11.189,9.8523,12.151
0.020092,11.263,9.9009,12.238
0.018738,11.337,9.9496,12.325
0.017475,11.411,9.9982,12.413
0.016298,11.484,10.047,12.501
0.015199,11.558,10.095,12.589
0.014175,11.631,10.144,12.674
0.013219,11.705,10.192,12.765
0.012328,11.778,10.246,12.853
0.011498,11.852,10.301,12.941
0.010723,11.925,10.356,13.028
0.01,11.998,10.411,13.116
0.009326,12.072,10.466,13.204
0.0086975,12.145,10.521,13.291
0.0081113,12.218,10.576,13.376
0.0075646,12.292,10.631,13.46
0.0070548,12.365,10.686,13.544
0.0065793,12.438,10.741,13.628
0.0061359,12.511,10.796,13.712
0.0057224,12.584,10.851,13.796
0.0053367,12.658,10.906,13.88
0.004977,12.731,10.961,13.964
0.0046416,12.804,11.012,14.048
0.0043288,12.877,11.062,14.134
0.004037,12.95,11.112,14.221
0.0037649,13.023,11.163,14.309
0.0035112,13.097,11.213,14.396
0.0032745,13.17,11.263,14.481
0.0030539,13.243,11.313,14.565
0.002848,13.316,11.363,14.649
0.0026561,13.389,11.413,14.732
0.0024771,13.462,11.464,14.816
0.0023101,13.535,11.517,14.9
0.0021544,13.608,11.57,14.983
0.0020092,13.681,11.623,15.068
0.0018738,13.754,11.676,15.157
0.0017475,13.827,11.729,15.246
0.0016298,13.9,11.782,15.335
0.0015199,13.973,11.835,15.424
0.0014175,14.046,11.887,15.513
0.0013219,14.119,11.94,15.602
0.0012328,14.192,11.993,15.687
0.0011498,14.266,12.046,15.776
0.0010723,14.339,12.099,15.86
0.001,14.412,12.152,15.944
