Exceedance Prob,Quantile [m],CI 2.5% [m],CI 97.5% [m]
1,-Inf,-Inf,-Inf
0.9326,7.1177,6.6937,7.5774
0.86975,7.4254,7.031,7.8427
0.81113,7.6465,7.2749,8.046
0.75646,7.8283,7.4648,8.213
0.70548,7.987,7.634,8.357
0.65793,8.1305,7.7754,8.4943
0.61359,8.263,7.9105,8.6326
0.57224,8.3872,8.0313,8.7567
0.53367,8.505,8.1533,8.8735
0.4977,8.6176,8.2572,8.9939
0.46416,8.7259,8.3613,9.1029
0.43288,8.8306,8.457,9.216
0.4037,8.9324,8.5536,9.3223
0.37649,9.0315,8.6415,9.433
0.35112,9.1284,8.7262,9.5381
0.32745,9.2234,8.816,9.6419
0.30539,9.3167,8.8918,9.7433
0.2848,9.4084,8.9726,9.8462
0.26561,9.4988,9.0522,9.9482
0.24771,9.5881,9.1307,10.042
0.23101,9.6762,9.2083,10.14
0.21544,9.7634,9.2835,10.236
0.20092,9.8498,9.3567,10.331
0.18738,9.9353,9.4243,10.426
0.17475,10.02,9.4872,10.524
0.16298,10.104,9.5515,10.621
0.15199,10.188,9.6181,10.719
0.14175,10.271,9.6914,10.817
0.13219,10.354,9.7581,10.912
0.12328,10.436,9.833,11.019
0.11498,10.517,9.9083,11.113
0.10723,10.599,9.971,11.215
0.1,10.68,10.041,11.312
0.09326,10.761,10.112,11.4
0.086975,10.841,10.169,11.488
0.081113,10.921,10.226,11.575
0.075646,11.001,10.293,11.669
0.070548,11.081,10.359,11.77
0.065793,11.16,10.426,11.872
0.061359,11.239,10.493,11.963
0.057224,11.318,10.555,12.065
0.053367,11.397,10.621,12.159
0.04977,11.476,10.68,12.255
0.046416,11.554,10.744,12.347
0.043288,11.633,10.81,12.44
0.04037,11.711,10.867,12.532
0.037649,11.789,10.933,12.624
0.035112,11.867,10.997,12.717
0.032745,11.945,11.057,12.812
0.030539,12.023,11.117,12.908
0.02848,12.101,11.173,13.003
0.026561,12.179,11.23,13.098
0.024771,12.257,11.287,13.193
0.023101,12.334,11.354,13.287
0.021544,12.412,11.416,13.382
0.020092,12.489,11.474,13.472
0.018738,12.566,11.533,13.563
0.017475,12.644,11.592,13.654
0.016298,12.721,11.651,13.744
0.015199,12.798,11.711,13.835
0.014175,12.876,11.776,13.925
0.013219,12.953,11.834,14.016
0.012328,13.03,11.895,14.106
0.011498,13.107,11.955,14.196
0.010723,13.184,12.015,14.287
0.01,13.261,12.074,14.377
0.009326,13.338,12.134,14.467
0.0086975,13.415,12.193,14.561
0.0081113,13.492,12.253,14.657
0.0075646,13.569,12.312,14.752
0.0070548,13.646,12.374,14.848
0.0065793,13.723,12.436,14.943
0.0061359,13.8,12.498,15.038
0.0057224,13.877,12.56,15.134
0.0053367,13.954,12.622,15.227
0.004977,14.031,12.684,15.32
0.0046416,14.107,12.744,15.413
0.0043288,14.184,12.803,15.505
0.004037,14.261,12.862,15.598
0.0037649,14.338,12.922,15.69
0.0035112,14.415,12.981,15.783
0.0032745,14.491,13.04,15.872
0.0030539,14.568,13.1,15.962
0.002848,14.645,13.159,16.052
0.0026561,14.722,13.218,16.142
0.0024771,14.798,13.278,16.232
0.0023101,14.875,13.337,16.322
0.0021544,14.952,13.396,16.412
0.0020092,15.029,13.456,16.502
0.0018738,15.105,13.515,16.591
0.0017475,15.182,13.574,16.681
0.0016298,15.259,13.634,16.771
0.0015199,15.336,13.693,16.861
0.0014175,15.412,13.752,16.951
0.0013219,15.489,13.812,17.041
0.0012328,15.566,13.871,17.13
0.0011498,15.642,13.93,17.22
0.0010723,15.719,13.989,17.31
0.001,15.796,14.049,17.4
