Exceedance Prob,Quantile [m],CI 2.5% [m],CI 97.5% [m]
1,-Inf,-Inf,-Inf
0.9326,7.5431,7.0675,8.084
0.86975,7.8169,7.3674,8.3289
0.81113,8.0137,7.5929,8.5025
0.75646,8.1754,7.7603,8.6722
0.70548,8.3167,7.8987,8.8101
0.65793,8.4443,8.0242,8.9349
0.61359,8.5622,8.1501,9.0512
0.57224,8.6728,8.2413,9.1656
0.53367,8.7776,8.3315,9.2576
0.4977,8.8777,8.4205,9.3624
0.46416,8.9741,8.5066,9.4635
0.43288,9.0673,8.5986,9.5546
0.4037,9.1578,8.6762,9.6489
0.37649,9.246,8.7581,9.7391
0.35112,9.3323,8.8317,9.832
0.32745,9.4168,8.8996,9.923
0.30539,9.4998,8.9648,10.012
0.2848,9.5814,9.0289,10.096
0.26561,9.6618,9.1013,10.187
0.24771,9.7412,9.1593,10.271
0.23101,9.8197,9.2166,10.357
0.21544,9.8973,9.283,10.439
0.20092,9.9741,9.35,10.523
0.18738,10.05,9.4085,10.605
0.17475,10.126,9.4641,10.687
0.16298,10.201,9.5193,10.769
0.15199,10.275,9.5711,10.857
0.14175,10.349,9.6301,10.938
0.13219,10.422,9.6851,11.023
0.12328,10.495,9.7471,11.106
0.11498,10.568,9.7956,11.188
0.10723,10.641,9.8481,11.27
0.1,10.713,9.8881,11.353
0.09326,10.784,9.9354,11.438
0.086975,10.856,9.9867,11.522
0.081113,10.927,10.041,11.607
0.075646,10.998,10.095,11.691
0.070548,11.069,10.141,11.775
0.065793,11.14,10.19,11.856
0.061359,11.21,10.242,11.937
0.057224,11.281,10.295,12.023
0.053367,11.351,10.356,12.108
0.04977,11.421,10.403,12.19
0.046416,11.491,10.46,12.275
0.043288,11.561,10.516,12.359
0.04037,11.63,10.573,12.444
0.037649,11.7,10.624,12.528
0.035112,11.769,10.671,12.618
0.032745,11.839,10.718,12.706
0.030539,11.908,10.769,12.784
0.02848,11.977,10.821,12.864
0.026561,12.046,10.874,12.947
0.024771,12.116,10.926,13.031
0.023101,12.185,10.98,13.115
0.021544,12.254,11.03,13.205
0.020092,12.322,11.082,13.29
0.018738,12.391,11.134,13.367
0.017475,12.46,11.186,13.449
0.016298,12.529,11.237,13.536
0.015199,12.598,11.287,13.623
0.014175,12.666,11.338,13.707
0.013219,12.735,11.393,13.787
0.012328,12.804,11.446,13.867
0.011498,12.872,11.497,13.948
0.010723,12.941,11.547,14.03
0.01,13.009,11.597,14.113
0.009326,13.078,11.645,14.196
0.0086975,13.147,11.692,14.279
0.0081113,13.215,11.738,14.36
0.0075646,13.284,11.785,14.434
0.0070548,13.352,11.835,14.51
0.0065793,13.42,11.883,14.59
0.0061359,13.489,11.934,14.672
0.0057224,13.557,11.984,14.759
0.0053367,13.626,12.034,14.846
0.004977,13.694,12.084,14.933
0.0046416,13.762,12.133,15.012
0.0043288,13.831,12.183,15.09
0.004037,13.899,12.232,15.169
0.0037649,13.967,12.282,15.257
0.0035112,14.036,12.332,15.346
0.0032745,14.104,12.381,15.434
0.0030539,14.172,12.431,15.517
0.002848,14.241,12.481,15.595
0.0026561,14.309,12.53,15.673
0.0024771,14.377,12.58,15.755
0.0023101,14.446,12.629,15.842
0.0021544,14.514,12.673,15.922
0.0020092,14.582,12.716,16.002
0.0018738,14.65,12.76,16.082
0.0017475,14.719,12.804,16.162
0.0016298,14.787,12.848,16.242
0.0015199,14.855,12.894,16.325
0.0014175,14.923,12.943,16.411
0.0013219,14.992,12.993,16.496
0.0012328,15.06,13.043,16.581
0.0011498,15.128,13.093,16.667
0.0010723,15.196,13.143,16.752
0.001,15.265,13.193,16.838
