Exceedance Prob,Quantile [m],CI 2.5% [m],CI 97.5% [m]
1,-Inf,-Inf,-Inf
0.9326,8.2877,7.7942,8.8466
0.86975,8.6635,8.1946,9.1883
0.81113,8.9336,8.471,9.444
0.75646,9.1557,8.6997,9.6633
0.70548,9.3496,8.9023,9.8388
0.65793,9.5248,9.0785,10.018
0.61359,9.6866,9.2314,10.168
0.57224,9.8384,9.3785,10.316
0.53367,9.9822,9.5135,10.456
0.4977,10.12,9.6464,10.59
0.46416,10.252,9.7734,10.719
0.43288,10.38,9.8962,10.844
0.4037,10.504,10.016,10.965
0.37649,10.625,10.132,11.083
0.35112,10.744,10.238,11.199
0.32745,10.86,10.339,11.321
0.30539,10.974,10.44,11.445
0.2848,11.086,10.545,11.561
0.26561,11.196,10.644,11.679
0.24771,11.305,10.741,11.792
0.23101,11.413,10.846,11.907
0.21544,11.519,10.939,12.014
0.20092,11.625,11.034,12.13
0.18738,11.729,11.134,12.24
0.17475,11.833,11.22,12.351
0.16298,11.936,11.311,12.461
0.15199,12.038,11.407,12.565
0.14175,12.139,11.494,12.68
0.13219,12.24,11.577,12.791
0.12328,12.34,11.658,12.9
0.11498,12.44,11.74,13.015
0.10723,12.54,11.834,13.127
0.1,12.639,11.921,13.247
0.09326,12.737,12.014,13.367
0.086975,12.835,12.098,13.48
0.081113,12.933,12.182,13.584
0.075646,13.031,12.272,13.688
0.070548,13.128,12.362,13.792
0.065793,13.225,12.451,13.896
0.061359,13.322,12.541,14.005
0.057224,13.418,12.63,14.106
0.053367,13.515,12.712,14.217
0.04977,13.611,12.79,14.329
0.046416,13.707,12.868,14.44
0.043288,13.802,12.946,14.552
0.04037,13.898,13.026,14.662
0.037649,13.994,13.102,14.767
0.035112,14.089,13.178,14.872
0.032745,14.184,13.256,14.977
0.030539,14.279,13.333,15.089
0.02848,14.374,13.41,15.191
0.026561,14.469,13.487,15.294
0.024771,14.564,13.564,15.404
0.023101,14.659,13.642,15.518
0.021544,14.754,13.719,15.631
0.020092,14.848,13.795,15.734
0.018738,14.943,13.876,15.832
0.017475,15.037,13.96,15.932
0.016298,15.132,14.043,16.037
0.015199,15.226,14.127,16.151
0.014175,15.32,14.21,16.249
0.013219,15.415,14.294,16.36
0.012328,15.509,14.368,16.472
0.011498,15.603,14.441,16.577
0.010723,15.697,14.515,16.682
0.01,15.791,14.589,16.787
0.009326,15.885,14.662,16.892
0.0086975,15.98,14.736,16.997
0.0081113,16.074,14.81,17.104
0.0075646,16.168,14.883,17.21
0.0070548,16.261,14.957,17.312
0.0065793,16.355,15.038,17.416
0.0061359,16.449,15.123,17.519
0.0057224,16.543,15.202,17.622
0.0053367,16.637,15.275,17.729
0.004977,16.731,15.348,17.835
0.0046416,16.825,15.421,17.939
0.0043288,16.919,15.494,18.044
0.004037,17.013,15.571,18.149
0.0037649,17.106,15.65,18.254
0.0035112,17.2,15.729,18.36
0.0032745,17.294,15.81,18.465
0.0030539,17.388,15.892,18.57
0.002848,17.481,15.973,18.675
0.0026561,17.575,16.055,18.781
0.0024771,17.669,16.136,18.886
0.0023101,17.763,16.218,18.991
0.0021544,17.856,16.299,19.096
0.0020092,17.95,16.381,19.202
0.0018738,18.044,16.462,19.307
0.0017475,18.138,16.544,19.412
0.0016298,18.231,16.625,19.517
0.0015199,18.325,16.705,19.622
0.0014175,18.419,16.778,19.728
0.0013219,18.512,16.851,19.833
0.0012328,18.606,16.926,19.938
0.0011498,18.7,16.998,20.043
0.0010723,18.793,17.07,20.15
0.001,18.887,17.143,20.26
